,name,id,shelfside score,dan score,ash score,categories,descriptions
77,Blood Rage,170216,10.0,,7.0,"['Fantasy', 'Fighting', 'Miniatures', 'Mythology']","[<description>&amp;quot;Life is Battle; Battle is Glory; Glory is ALL&amp;quot;&lt;br/&gt;&lt;br/&gt;In Blood Rage, each player controls their own Viking clan&amp;rsquo;s warriors, leader, and ship. Ragnar&amp;ouml;k has come, and it&amp;rsquo;s the end of the world! It&amp;rsquo;s the Vikings&amp;rsquo; last chance to go down in a blaze of glory and secure their place in Valhalla at Odin&amp;rsquo;s side! For a Viking there are many pathways to glory. You can invade and pillage the land for its rewards, crush your opponents in epic battles, fulfill quests, increase your clan's stats, or even die gloriously either in battle or from Ragnar&amp;ouml;k, the ultimate inescapable doom.&lt;br/&gt;&lt;br/&gt;Most player strategies are guided by the cards drafted at the beginning of each of the three game rounds (or Ages). These &amp;ldquo;Gods&amp;rsquo; Gifts&amp;rdquo; grant you numerous boons for your clan including: increased Viking strength and devious battle strategies, upgrades to your clan, or even the aid of legendary creatures from Norse mythology. They may also include various quests, from dominating specific provinces, to having lots of your Vikings sent to Valhalla. Most of these cards are aligned with one of the Norse gods, hinting at the kind of strategy they support. For example, Thor gives more glory for victory in battle, Heimdall grants you foresight and surprises, Tyr strengthens you in battle, while the trickster Loki actually rewards you for losing battles, or punishes the winner.&lt;br/&gt;&lt;br/&gt;Players must choose their strategies carefully during the draft phase, but also be ready to adapt and react to their opponents&amp;rsquo; strategies as the action phase unfolds. Battles are decided not only by the strength of the figures involved, but also by cards played in secret. By observing your opponent&amp;rsquo;s actions and allegiances to specific gods, you may predict what card they are likely to play, and plan accordingly. Winning battles is not always the best course of action, as the right card can get you even more rewards by being crushed. The only losing strategy in Blood Rage is to shy away from battle and a glorious death!&lt;br/&gt;&lt;br/&gt;</description>]"
79,Avocado Smash! (Party Edition),343518,6.0,,7.0,['Card Game'],"[<description>Avocado Smash is back -- and ready to party! The smash hit snap card game from Ridley's Games has gotten even more smashing in this jumbo Party Edition.&lt;br/&gt;&lt;br/&gt;You ordered it and we've served a brunchier take on the original by adding Avocado Toast to the gameplay! Packed with lots more cards and fresh rules, with each smash a player wins on a card that features toppings, they get to add that tasty topping like a fried egg or tomato to their Avocado Toast token. The goal is to have the most toppings on your Avocado Toast when the game ends! But watch out for the You're Toast card! Everything comes packaged in an extra-large avocado container wearing a fun party hat.&lt;br/&gt;&lt;br/&gt;Perfect for avocado lovers and families, this game is suitable for ages 6+, 2 to 8 players and has an average of 20 minutes gameplay.&lt;br/&gt;&lt;br/&gt;&amp;mdash;description from the publisher&lt;br/&gt;&lt;br/&gt;</description>]"
80,Unfathomable,340466,9.0,5.0,6.0,"['Bluffing', 'Deduction', 'Fantasy', 'Horror', 'Novel-based']","[<description>The year is 1913. The steamship SS Atlantica is two days out from port on its voyage across the Atlantic Ocean. Its unsuspecting passengers fully anticipated a calm journey to Boston, Massachusetts, with nothing out of the ordinary to look forward to. However, strange nightmares plague the minds of the people aboard the ship every night; rumors circulate of dark shapes following closely behind the ship just beneath the waves; and tensions rise when a body is discovered in the ship's chapel, signs of a strange ritual littered around the corpse.&lt;br/&gt;&lt;br/&gt;Lurking within the depths of the Atlantic Ocean are a swarm of vicious, unspeakable horrors: the Deep Ones, led by Mother Hydra and Father Dagon. For reasons unknown, they have set their sights on the Atlantica, and their minions, taking the form of human-Deep One hybrids, have infiltrated the steamship to help sink it from within. Each game of Unfathomable has one or more players assuming the role of one of these hybrids, and how well they can secretly sabotage the efforts of the other players might mean the difference between a successful voyage and a sunken ship.&lt;br/&gt;&lt;br/&gt;If you're a human, you need to fend off Deep Ones, prevent the Atlantica from taking too much damage, and carefully manage the ship's four crucial resources if you want any hope of making it to Boston, all while trying to figure out which of your fellow players are friends and which are foes. Everyone shares the same resource pool, but humans will try to preserve them while traitors will strive to subtly deplete them. Being able to tell when someone is purposefully draining the group's resources is harder than you think, especially when you take crises into account!&lt;br/&gt;&lt;br/&gt;At the end of each player's turn, that player must draw a mythos card. Each of these cards represents a crisis that the whole group must try to resolve together. Some of these crises, such as &amp;quot;Food Rationing&amp;quot;, call for a choice that could potentially put the ship's passengers or resources at risk, while others, such as &amp;quot;Hull Leak&amp;quot;, call for a skill test in which failure could have disastrous consequences.&lt;br/&gt;&lt;br/&gt;During a skill test, each player contributes skill cards from their hand to a face-down pile shared by the group. Once everyone has contributed (or chosen not to), the cards are shuffled, then revealed. If enough of the correct skills were contributed, then the group passes the test! But if the wrong skills were contributed, they can actually hinder the results, leading to failure. Thus, skill tests are dangerous opportunities for traitors to sabotage the humans' efforts, so you have to stay on your toes at all times.&lt;br/&gt;&lt;br/&gt;&amp;mdash;description from the publisher&lt;br/&gt;&lt;br/&gt;</description>]"
81,Euthia: Torment of Resurrection,295785,8.0,,5.0,"['Adventure', 'Exploration', 'Fantasy', 'Fighting', 'Miniatures']","[<description>Euthia: Torment of Resurrection is an open-world sandbox RPG strategy for 1-4 players that can be played competitively, cooperatively, or solo. Choose one of six heroes with different play styles and unique ability trees and embark on a wide range of epic, fantasy adventures through infinitely replayable scenarios. Wander through an expanding open world generated by modular map tiles that will be different every time you play. Discover areas where you can fight monsters, gather resources, trade with merchants, pursue side quests, and confront elemental powers. Your actions grant you reputation and wealth so you can develop your hero by unlocking new abilities and customizing your equipment.&lt;br/&gt;&lt;br/&gt;&amp;mdash;description from the publisher&lt;br/&gt;&lt;br/&gt;</description>]"
82,Dune: A Game of Conquest and Diplomacy,341165,10.0,7.0,8.0,"['Novel-based', 'Science Fiction', 'Wargame']","[<description>Take part in one of the most famous science-fiction stories of all time. Dune: A Game of Conquest and Diplomacy builds on 40 years of development, refinement, and evolution from the original classic game. It has the same beloved DNA, flavor, tension, and themes, but with new game-board design, more spice, new streamlined rules, and a new market deck from which you can purchase game advantages. Also, the brand new two-player mode really opens up new gaming opportunities, all making the game more accessible for even the most casual gamer.&lt;br/&gt;&lt;br/&gt;In Dune, you will take control of one of the four great factions&amp;mdash;House Atreides, House Harkonnen, the Fremen, and the Imperium&amp;mdash;all vying to control the most valuable resource in the universe: melange, the mysterious spice only found at great cost on the planet Dune. Ship your forces to Dune, harvest spice, seize control of strongholds, and destroy your enemies. Who will control Dune? You decide!&lt;br/&gt;&lt;br/&gt;The game is played multiple phases, some of which don't have player specific actions, like in the Spice phase, a Spice Blow card is drawn and spice is added to the board in two territories, or else a Sandworm attacks that last two territories where spice was placed. But on the card phase, each player draws up to a hand of 4 Battle cards, and then may purchase Market cards up to a hand of 3 for 2 spice each. On the Shipping and Movement Phase, players take turns adding forces to the board and then moving forces on the board. Each player's faction has&lt;br/&gt;&lt;br/&gt;The game plays 3 to 5 Rounds. Starting on Round 3, the game can end if a player occupies 3 strongholds at the end of the Round. If no one occupies 3 strongholds at the end of Round 5, then the player with the most spice wins (and each stronghold they occupy counts as 5 spice).&lt;br/&gt;&lt;br/&gt;</description>]"
83,Dune: Imperium,316554,9.0,7.0,8.0,"['Movies / TV / Radio theme', 'Novel-based', 'Political', 'Science Fiction']","[<description>Dune: Imperium is a game that uses deck-building to add a hidden-information angle to traditional worker placement. It finds inspiration in elements and characters from the Dune legacy, both the new film from Legendary Pictures and the seminal literary series from Frank Herbert, Brian Herbert, and Kevin J. Anderson.&lt;br/&gt;&lt;br/&gt;As a leader of one of the Great Houses of the Landsraad, raise your banner and marshal your forces and spies. War is coming, and at the center of the conflict is Arrakis &amp;ndash; Dune, the desert planet.&lt;br/&gt;&lt;br/&gt;You start with a unique leader card, as well as a deck identical to those of your opponents.  As you acquire cards and build your deck, your choices will define your strengths and weaknesses. Cards allow you to send your Agents to certain spaces on the game board, so how your deck evolves affects your strategy. You might become more powerful militarily, able to deploy more troops than your opponents. Or you might acquire cards that give you an edge with the four political factions represented in the game: the Emperor, the Spacing Guild, the Bene Gesserit, and the Fremen.&lt;br/&gt;&lt;br/&gt;Unlike many deck-building games, you don&amp;rsquo;t play your entire hand in one turn. Instead, you draw a hand of cards at the start of every round and alternate with other players, taking one Agent turn at a time (playing one card to send one of your Agents to the game board). When it&amp;rsquo;s your turn and you have no more Agents to place, you&amp;rsquo;ll take a Reveal turn, revealing the rest of your cards, which will provide Persuasion and Swords. Persuasion is used to acquire more cards, and Swords help your troops fight for the current round&amp;rsquo;s rewards as shown on the revealed Conflict card.&lt;br/&gt;&lt;br/&gt;Defeat your rivals in combat, shrewdly navigate the political factions, and acquire precious cards. The Spice must flow to lead your House to victory!&lt;br/&gt;&lt;br/&gt;Some important links: The Official FAQ, the Unofficial FAQ, and an Automa (solo and 2p) Overview&lt;br/&gt;&lt;br/&gt;</description>]"
84,Fast and Furious: Highway Heist,332015,7.0,6.0,4.0,"['Adventure', 'Dice', 'Movies / TV / Radio theme']","[<description>Get ready for an exciting new mission based on the blockbuster movie series, playing as Dom, Brian, Letty, Roman, and the rest of Team Toretto on a harrowing high-speed heist! Go up against heavily-armed enemies with your hot cars, daring driving, and jaw-dropping vehicle-to-vehicle leaps of faith. Whether you are taking down a swerving semi filled with valuable cargo, stopping a rampaging tank in its tracks, or bringing down a high-tech helicopter as it rains fire from the skies, you&amp;rsquo;ll have to work together to take advantage of every team member&amp;rsquo;s strengths.&lt;br/&gt;&lt;br/&gt;Each of the three scenarios is different and impacts how you and your high-stakes seeking team will strategize to win!&lt;br/&gt;&lt;br/&gt;On players' turns, they will move, leap from vehicle to vehicle, fight back enemies, and pull off crazy stunts (that also act as the timer for the game - run out of stunts to do and you lose the scenario). You'll accomplish this by passing dice skill checks which your variable player powers and vehicles' stats will impact. Each scenario has a different objective you must complete to win, so get ready to work with your own Fast Family - it's up to you to pull off the job no other crew can do!&lt;br/&gt;&lt;br/&gt;-description from publisher&lt;br/&gt;&lt;br/&gt;</description>]"
85,Legacy's Allure,356629,8.0,6.0,6.0,"['Fantasy', 'Wargame']","[<description>Legacy's Allure is a customizable, card-based wargame with no randomness. Imagine chess but with customization, deeper mechanics, and a high-fantasy theme. Legacy's Allure has been called a &amp;quot;streamlined wargame&amp;quot; due to its elegance and accessibility.&lt;br/&gt;&lt;br/&gt;Each player begins the game by drafting an army of an agreed upon size from their deck, also known as a &amp;quot;kingdom&amp;quot;. Then players alternate taking turns in which they may perform a single action with one of their units: moving, attacking, or using an ability. After a unit acts, it is exhausted until the end of the round and cannot act again. Once all units on the board are exhausted, they are refreshed and a new round begins. The game ends at the end of the seventh round. At that time, the attacking player wins if they occupy the central hex with one of their units. Otherwise, the defending player wins.&lt;br/&gt;&lt;br/&gt;&amp;mdash;description from the designer&lt;br/&gt;&lt;br/&gt;</description>]"
87,Scythe,169786,7.0,5.0,5.0,"['Economic', 'Fighting', 'Science Fiction', 'Territory Building']","[<description>It is a time of unrest in 1920s Europa. The ashes from the first great war still darken the snow. The capitalistic city-state known simply as &amp;ldquo;The Factory&amp;rdquo;, which fueled the war with heavily armored mechs, has closed its doors, drawing the attention of several nearby countries.&lt;br/&gt;&lt;br/&gt;Scythe is an engine-building game set in an alternate-history 1920s period. It is a time of farming and war, broken hearts and rusted gears, innovation and valor. In Scythe, each player represents a character from one of five factions of Eastern Europe who are attempting to earn their fortune and claim their faction's stake in the land around the mysterious Factory. Players conquer territory, enlist new recruits, reap resources, gain villagers, build structures, and activate monstrous mechs.&lt;br/&gt;&lt;br/&gt;Each player begins the game with different resources (power, coins, combat acumen, and popularity), a different starting location, and a hidden goal. Starting positions are specially calibrated to contribute to each faction&amp;rsquo;s uniqueness and the asymmetrical nature of the game (each faction always starts in the same place). Scythe uses a streamlined action-selection mechanism (no rounds or phases) to keep gameplay moving at a brisk pace and reduce downtime between turns. While there is plenty of direct conflict for players who seek it, there is no player elimination.&lt;br/&gt;&lt;br/&gt;Scythe gives players almost complete control over their fate. Other than each player&amp;rsquo;s individual hidden objective card, the only elements of luck or variability are &amp;ldquo;encounter&amp;rdquo; cards that players will draw as they interact with the citizens of newly explored lands. Each encounter card provides the player with several options, allowing them to mitigate the luck of the draw through their selection. Combat is also driven by choices, not luck or randomness. Every part of Scythe has an aspect of engine-building to it. Players can upgrade actions to become more efficient, build structures that improve their position on the map, enlist new recruits to enhance character abilities, activate mechs to deter opponents from invading, and expand their borders to reap greater types and quantities of resources. These engine-building aspects create a sense of momentum and progress throughout the game. The order in which players improve their engine adds to the unique feel of each game, even when playing one faction multiple times.&lt;br/&gt;&lt;br/&gt;</description>]"
88,Gloomhaven,174430,7.0,10.0,4.0,"['Adventure', 'Exploration', 'Fantasy', 'Fighting', 'Miniatures']","[<description>Gloomhaven  is a game of Euro-inspired tactical combat in a persistent world of shifting motives. Players will take on the role of a wandering adventurer with their own special set of skills and their own reasons for traveling to this dark corner of the world. Players must work together out of necessity to clear out menacing dungeons and forgotten ruins. In the process, they will enhance their abilities with experience and loot, discover new locations to explore and plunder, and expand an ever-branching story fueled by the decisions they make.&lt;br/&gt;&lt;br/&gt;This is a game with a persistent and changing world that is ideally played over many game sessions. After a scenario, players will make decisions on what to do, which will determine how the story continues, kind of like a &amp;ldquo;Choose Your Own Adventure&amp;rdquo; book. Playing through a scenario is a cooperative affair where players will fight against automated monsters using an innovative card system to determine the order of play and what a player does on their turn.&lt;br/&gt;&lt;br/&gt;Each turn, a player chooses two cards to play out of their hand. The number on the top card determines their initiative for the round. Each card also has a top and bottom power, and when it is a player&amp;rsquo;s turn in the initiative order, they determine whether to use the top power of one card and the bottom power of the other, or vice-versa. Players must be careful, though, because over time they will permanently lose cards from their hands. If they take too long to clear a dungeon, they may end up exhausted and be forced to retreat.&lt;br/&gt;&lt;br/&gt;</description>]"
89,Sid Meier's Civilization: The Board Game (2010),77130,8.0,10.0,9.0,"['City Building', 'Civilization', 'Exploration', 'Negotiation', 'Video Game Theme']","[<description>Please note: this entry covers the 2010 release of Sid Meier&amp;rsquo;s Civilization: The Board Game from FFG. This game is unrelated to the similarly named 2002 Eagle Games Sid Meier's Civilization: The Boardgame.&lt;br/&gt;&lt;br/&gt;From Press Release:&lt;br/&gt;&lt;br/&gt;Before you lies a vast bounty of land, ripe for the plucking. Your meager beginnings will influence the paths you must take. Lead your people well and they will take you to infinite heights of greatness. If civilization manages to endure the ages, your name will hang in every whisper of its legacy...&lt;br/&gt;&lt;br/&gt;Fantasy Flight Games is excited to announce the upcoming release of Sid Meier&amp;rsquo;s Civilization: The Board Game! Forge an empire to stand the test of time using innovative game mechanics with multiple paths to victory.&lt;br/&gt;&lt;br/&gt;Will you lead the greatest army in the world to conquer your foes? Or will you be the first to journey to the stars, becoming the most technologically advanced civilization known to man? The choice is yours.&lt;br/&gt;&lt;br/&gt;Designed by Kevin Wilson, Civilization: The Board Game is inspired by the legendary video game series created by Sid Meier. Players are tasked with guiding an entire civilization throughout the ages, taking ownership of your people&amp;rsquo;s technology, economy, culture, and military, as well as all the choices that go along with them. There are four different paths to victory, and each is riddled with opposition.&lt;br/&gt;&lt;br/&gt;In Civilization: The Board Game, 2-4 players take on the roles of famous leaders in charge of historical civilizations, each with their own abilities. Players will be able to explore a module game board, build cities and buildings, fight battles, research powerful technology, and attract great people by advancing their culture. No matter what your play style is, there is a civilization for you!&lt;br/&gt;&lt;br/&gt;Fans of Sid Meier&amp;rsquo;s classic video game franchise will find familiar footing in Civilization: The Board Game. Staying true to the foundations of its video game predecessor while creating a new and unique way to play, Civilization: The Board Game captures the spirit and grandeur of carving out a magnificent empire from modest beginnings.&lt;br/&gt;&lt;br/&gt;Players start off with a single city, one army figure, and one scout, and from these meager origins you must forge through the ages and become the greatest civilization in the world.&lt;br/&gt;&lt;br/&gt;Those unfamiliar with the video game series will find Civilization: The Board Game a great way to enter into the world of Civilization. The strategy and tactical decisions involved in Civilization: The Board Game will appeal to strategy gamers and war gamers alike, and the ability to win through culture and technological advancement will give those who only wish to focus on their own empire a chance at victory as well.&lt;br/&gt;&lt;br/&gt;</description>]"
90,Dune Imperium — Rise of Ix,342031,5.0,3.0,5.0,"['Expansion for Base-game', 'Movies / TV / Radio theme', 'Novel-based', 'Political', 'Science Fiction']","[<description>Conflict spreads across the Imperium in Dune: Imperium &amp;ndash; Rise of Ix, the first expansion to the award-winning board game.&lt;br/&gt;&lt;br/&gt;&lt;br/&gt;     Enter the fray as one of three new Great Houses with unique leader abilities.&lt;br/&gt;     Acquire technological innovations from the planet Ix for a lasting strategic advantage.&lt;br/&gt;     Deploy fearsome dreadnoughts to rule the skies above Arrakis.&lt;br/&gt;     Dispatch subtle infiltrators to outmaneuver your opponents.&lt;br/&gt;     Dominate the Imperium in the new Epic game mode for a more intense, high-stakes challenge.&lt;br/&gt;&lt;br/&gt;&lt;br/&gt;</description>]"
91,Civilization: A New Dawn,233247,3.0,2.0,2.0,"['Civilization', 'Exploration']","[<description>Description from the publisher:&lt;br/&gt;&lt;br/&gt;Sid Meier's Civilization: A New Dawn is a strategy board game in which two to four players act as the rulers of history's most memorable empires. Over the course of the game, players will expand their domains, gain new technologies, and build many of humanity's greatest wonders. In the end, one nation will rise above all others to leave its indelible mark upon history.&lt;br/&gt;&lt;br/&gt;This new game presents players with an undiscovered country to conquer, built from beautifully illustrated map tiles. These would-be conquerors construct and populate the map with barbarians, natural resources, and city-states, then formulate their plans for how they will shape this world to their vision. Their exact goals, however, change with each game. Agendas are detailed on victory cards, three of which are drawn during set up. Players race to become the first to accomplish one agenda on each of these victory cards, spreading throughout the world and ensuring their civilization&amp;rsquo;s place as the greatest world power.&lt;br/&gt;&lt;br/&gt;</description>]"
92,All Time Wrestling,351969,9.0,7.0,8.0,"['Card Game', 'Dice', 'Fighting', 'Sports']","[<description>&amp;quot;Clack! Zap! Boom!&amp;quot; A frightening roar echoes through the chambers of the arena. This is the sound of something sinister. This is a beast, grinding and twisting, bending the forces of the universe to the will of its master, a master who is obsessed with finding the definitive answer to the question of &amp;quot;Who is the greatest wrestler of all time?&amp;quot;&lt;br/&gt;&lt;br/&gt;Now, his beast, the world's only time machine, brings forward the very best &amp;mdash; champions of past, present and future generations. legends who seek to cement their legacy as the best of all time. This is where legends collide. This is where your destiny awaits.&lt;br/&gt;&lt;br/&gt;All Time Wrestling is a card-and-dice game that brings the fast-paced action and excitement of professional wrestling to your tabletop. With standard and advanced modes of play, ATW is accessible to gamers and non-gamers alike, using intuitive mechanisms that are reminiscent of your favorite wrestling games.&lt;br/&gt;&lt;br/&gt;Choose your champion from the legends of past, present and future, each with their own deck of attacks, abilities, signature moves, and finishers! Play your cards to unleash devastating combos, powerbombs and piledrivers, aerial stunts and deadly submissions...but will the dice be in your favor?&lt;br/&gt;&lt;br/&gt;&amp;mdash;description from the publisher&lt;br/&gt;&lt;br/&gt;</description>]"
93,Radlands,329082,7.0,5.0,4.0,"['Card Game', 'Fighting', 'Science Fiction']","[<description>Radlands is a competitive, dueling card game about identifying fiercely powerful card synergies.&lt;br/&gt;&lt;br/&gt;Act as the leader of your post apocalyptic group of survivors in a tooth-and-nail fight to protect your three camps from a vicious rival tribe. If all of them are destroyed, you lose the game.&lt;br/&gt;&lt;br/&gt;The main resource in the game is water. You will spend it to play people and events, and to use the abilities of cards you already have on the table. People protect your camps and provide useful abilities, while events are powerful effects that take time to pay off.&lt;br/&gt;&lt;br/&gt;Both players draw cards from the same deck. All cards can either be played to the table or discarded for quick &amp;ldquo;junk&amp;rdquo; effects. To win, you will need to manage your cards and water wisely.&lt;br/&gt;&lt;br/&gt;</description>]"
94,Nut Hunt,336946,6.0,,4.0,"['Animals', 'Dice', 'Territory Building']","[<description>Nut Hunt is a fast-paced squirrel placement game where 1-5 players battle for control of the forest.&lt;br/&gt;&lt;br/&gt;But watch out!&lt;br/&gt;&lt;br/&gt;The wily fox roams the board scattering squirrels.&lt;br/&gt;&lt;br/&gt;Clever players will use the fox to their advantage, positioning their critters to scatter onto favorable territories, or strategically hassling the fox to foil their opponents' plans.&lt;br/&gt;&lt;br/&gt;Turns in Nut Hunt are fast paced and intuitive with one mandatory action: Move the Fox (causing squirrel scattering, and nut foraging), followed by your choice of one optional action: Recruit a Squirrel, Hassle the Fox, or Scout an Objective.&lt;br/&gt;&lt;br/&gt;When three squirrels get together they form a nest, and the game ends when a player places their fourth nest.&lt;br/&gt;&lt;br/&gt;Points are scored based on completed objectives. Whoever has the most points win.&lt;br/&gt;&lt;br/&gt;</description>]"
95,Lost Ruins of Arnak,312484,9.0,7.0,7.0,"['Adventure', 'Ancient', 'Exploration', 'Fantasy', 'Travel']","[<description>On an uninhabited island in uncharted seas, explorers have found traces of a great civilization. Now you will lead an expedition to explore the island, find lost artifacts, and face fearsome guardians, all in a quest to learn the island's secrets.&lt;br/&gt;&lt;br/&gt;Lost Ruins of Arnak combines deck-building and worker placement in a game of exploration, resource management, and discovery. In addition to traditional deck-builder effects, cards can also be used to place workers, and new worker actions become available as players explore the island. Some of these actions require resources instead of workers, so building a solid resource base will be essential. You are limited to only one action per turn, so make your choice carefully... what action will benefit you most now? And what can you afford to do later... assuming someone else doesn't take the action first!?&lt;br/&gt;&lt;br/&gt;Decks are small, and randomness in the game is heavily mitigated by the wealth of tactical decisions offered on the game board. With a variety of worker actions, artifacts, and equipment cards, the set-up for each game will be unique, encouraging players to explore new strategies to meet the challenge.&lt;br/&gt;&lt;br/&gt;Discover the Lost Ruins of Arnak!&lt;br/&gt;&lt;br/&gt;&amp;mdash;description from the publisher&lt;br/&gt;&lt;br/&gt;</description>]"
96,Galactic Era,281676,8.0,9.0,6.0,"['Science Fiction', 'Space Exploration', 'Wargame']","[<description>Galactic Era is an epic space strategy board game with a focus on exploration, expansion and combat.&lt;br/&gt;&lt;br/&gt;The most innovative feature of the game is that you can choose to play as the &amp;ldquo;dark&amp;rdquo; or the &amp;ldquo;light&amp;rdquo; side with the appropriate consequences. You can switch your alignment during the game though, too.&lt;br/&gt;&lt;br/&gt;The amount of luck involved in this game is very low. Combat is deterministic with hidden information (no dice are used).&lt;br/&gt;&lt;br/&gt;Further features:&lt;br/&gt;&lt;br/&gt;&lt;br/&gt;     Many paths to victory, from peaceful to warlike.&lt;br/&gt;     Alignment determines how you can interact with other players: &amp;ldquo;Light&amp;rdquo; (STO) factions can ally with advanced civilizations encountered but may not interfere with primitive civilizations, are peaceful towards other STO players, are peaceful with STS players unless attacked first. &amp;ldquo;Darkness&amp;rdquo; (STS) factions can be as peaceful to aggressive as they wish, and are able to subjugate primitive planets.&lt;br/&gt;     Develop your civilization in across five different technology fields: Military, Spirituality, Propulsion, Robotics and Genetics. Those who are committed a single area of specialty are rewarded with epic powers, at the highest level.&lt;br/&gt;     Cooperate with other players by trading technologies.&lt;br/&gt;     Choose from 17 unique factions, each with a unique power, sometimes even two (one for each alignment).&lt;br/&gt;     Fog of war creates uncertainty by hiding fleets with their tactical options and advantages. Fleets have advantages over others in a Rock-Paper-Scissors fashion.&lt;br/&gt;     Secret objectives give each player a surprise power, while encouraging different avenues of play.&lt;br/&gt;     Highly variable game setup that influences objectives.&lt;br/&gt;     A detailed and rich background story, based on testimony from secret space program whistle-blowers, UFO/ET witness accounts and channeled material.&lt;br/&gt;&lt;br/&gt;&lt;br/&gt;&amp;mdash;description from the publisher&lt;br/&gt;&lt;br/&gt;</description>]"
97,Hadrian's Wall,304783,7.0,,7.0,"['Ancient', 'City Building']","[<description>When visiting the North of Britannia in 122 AD, the Roman Emperor Hadrian Augustus witnessed the aftermath of war between his armies and the savage Picts. In a show of Roman might, he ordered a wall to be built that would separate the Pict tribes from the rest of England. Grand in its design, the wall stretched 80 Roman miles, from coast to coast. Hadrian's Wall stood in service to the Roman Empire for nearly 300 years before its eventual decline. Today, Hadrian's Wall is a UNESCO World Heritage Site and the remains of the forts, towers, and turrets can still be explored.&lt;br/&gt;&lt;br/&gt;In Hadrian's Wall, players take on the role of a Roman General placed in charge of the construction of a milecastle and bordering wall. Over six years (rounds), players will construct their fort and wall, man the defenses, and attract civilians by building services and providing entertainment &amp;mdash; all while defending the honor of the Roman Empire from the warring Picts. The player who can accumulate the most renown, piety, valor and discipline, whilst avoiding disdain, will prove to the Emperor they are the model Roman citizen and be crowned Legatus Legionis!&lt;br/&gt;&lt;br/&gt;&amp;mdash;description from the publisher&lt;br/&gt;&lt;br/&gt;</description>]"
98,Blitz Bowl: Ultimate Edition,359065,8.0,6.0,7.0,"['Dice', 'Fantasy', 'Fighting', 'Miniatures', 'Sports']","[<description>Smaller in scale but no less bloody, the six-a-side version of Blood Bowl gets a new season, bringing you more gory gladiatorial action on the gridiron. With streamlined rules that are simple to learn, but rewarding to master, you can get into the game at a breakneck pace &amp;ndash; quite literally, for some players.&lt;br/&gt;&lt;br/&gt;This season, two new teams are ready to tussle in a tumultuous try-out &amp;ndash; six Human players form The Reavers, while six Skaven make up The Scramblers. You&amp;rsquo;ll also get a pitch, cards, dice, and everything else you need to play an action-packed strategic sports game for two &amp;ndash; in less than an hour.&lt;br/&gt;&lt;br/&gt;&amp;mdash;description from the publisher&lt;br/&gt;&lt;br/&gt;</description>]"
99,Catan Base,13,7.0,,6.0,"['Economic', 'Negotiation']","[<description>In CATAN (formerly The Settlers of Catan), players try to be the dominant force on the island of Catan by building settlements, cities, and roads. On each turn dice are rolled to determine what resources the island produces. Players build by spending resources (sheep, wheat, wood, brick and ore) that are depicted by these resource cards; each land type, with the exception of the unproductive desert, produces a specific resource: hills produce brick, forests produce wood, mountains produce ore, fields produce wheat, and pastures produce sheep.&lt;br/&gt;&lt;br/&gt;Set-up includes randomly placing large hexagonal tiles (each showing a resource or the desert) in a honeycomb shape and surrounding them with water tiles, some of which contain ports of exchange. Number disks, which will correspond to die rolls (two 6-sided dice are used), are placed on each resource tile. Each player is given two settlements (think: houses) and roads (sticks) which are, in turn, placed on intersections and borders of the resource tiles. Players collect a hand of resource cards based on which hex tiles their last-placed house is adjacent to. A robber pawn is placed on the desert tile.&lt;br/&gt;&lt;br/&gt;A turn consists of possibly playing a development card, rolling the dice, everyone (perhaps) collecting resource cards based on the roll and position of houses (or upgraded cities&amp;mdash;think: hotels) unless a 7 is rolled, turning in resource cards (if possible and desired) for improvements, trading cards at a port, and trading resource cards with other players. If a 7 is rolled, the active player moves the robber to a new hex tile and steals resource cards from other players who have built structures adjacent to that tile.&lt;br/&gt;&lt;br/&gt;Points are accumulated by building settlements and cities, having the longest road and the largest army (from some of the development cards), and gathering certain development cards that simply award victory points. When a player has gathered 10 points (some of which may be held in secret), he announces his total and claims the win.&lt;br/&gt;&lt;br/&gt;CATAN has won multiple awards and is one of the most popular games in recent history due to its amazing ability to appeal to experienced gamers as well as those new to the hobby.&lt;br/&gt;&lt;br/&gt;Die Siedler von Catan was originally published by KOSMOS and has gone through multiple editions. It was licensed by Mayfair and has undergone four editions as The Settlers of Catan. In 2015, it was formally renamed CATAN to better represent itself as the core and base game of the CATAN series. It has been re-published in two travel editions, portable edition and compact edition, as a special gallery edition (replaced in 2009 with a family edition), as an anniversary wooden edition, as a deluxe 3D collector&amp;#039;s edition, in the basic Simply Catan, as a beginner version, and with an entirely new theme in Japan and Asia as Settlers of Catan: Rockman Edition. Numerous spin-offs and expansions have also been made for the game.&lt;br/&gt;&lt;br/&gt;</description>]"
100,Catan Seafarers,325,6.0,,6.0,"['Expansion for Base-game', 'Exploration', 'Nautical', 'Negotiation']","[<description>This is an expansion for CATAN. Players can build shipping lanes, which are very similar to roads. Additionally, the game comes with many different water-hex-heavy variant setups. The English version (CATAN Studio) should only be used with the English base game, instead of the German one (Kosmos), because of matching components. The Kosmos German version should only be used with the German base game. Additionally, several different editions exist; 5th edition is the most recent. Editions should only be used with same edition, otherwise the purchase of adapter kit is required.&lt;br/&gt;&lt;br/&gt;Part of the Catan Series.&lt;br/&gt;&lt;br/&gt;This game requires CATAN.  Ideally, using the same publisher and edition of the game.&lt;br/&gt;&lt;br/&gt;</description>]"
